structure,workload,n,operation,time_ms,run_id
BTree,zipfian,5000,search,0.199601,3
vEB,zipfian,5000,build,0.092572,1
vEB,zipfian,5000,build,0.054186,2
vEB,zipfian,5000,build,0.049584,3
vEB,zipfian,5000,search,0.06617,1
vEB,zipfian,5000,search,0.068305,2
vEB,zipfian,5000,search,0.071583,3
BST,uniform,10000,insert,1.73342,1
BST,uniform,10000,insert,1.20318,2
BST,uniform,10000,insert,0.847577,3
BST,uniform,10000,search,0.553737,1
BST,uniform,10000,search,0.473631,2
BST,uniform,10000,search,0.385546,3
BTree,uniform,10000,insert,1.58412,1
BTree,uniform,10000,insert,1.50528,2
BTree,uniform,10000,insert,1.20645,3
BTree,uniform,10000,search,0.731927,1
BTree,uniform,10000,search,0.735619,2
BTree,uniform,10000,search,0.799618,3
vEB,uniform,10000,build,0.265449,1
vEB,uniform,10000,build,0.197697,2
vEB,uniform,10000,build,0.176388,3
vEB,uniform,10000,search,0.296173,1
vEB,uniform,10000,search,0.28709,2
vEB,uniform,10000,search,0.298061,3
BST,sorted,10000,insert,192.105,1
BST,sorted,10000,insert,237.597,2
BST,sorted,10000,insert,215.578,3
BST,sorted,10000,search,118.187,1
BST,sorted,10000,search,116.071,2
BST,sorted,10000,search,117.64,3
BTree,sorted,10000,insert,0.767806,1
BTree,sorted,10000,insert,0.804721,2
BTree,sorted,10000,insert,0.725991,3
BTree,sorted,10000,search,0.394562,1
BTree,sorted,10000,search,0.395896,2
BTree,sorted,10000,search,0.392394,3
vEB,sorted,10000,build,0.166592,1
vEB,sorted,10000,build,0.091137,2
vEB,sorted,10000,build,0.109329,3
vEB,sorted,10000,search,0.285688,1
vEB,sorted,10000,search,0.28952,2
vEB,sorted,10000,search,0.299997,3
BST,reverse,10000,insert,221.67,1
BST,reverse,10000,insert,235.992,2
BST,reverse,10000,insert,227.256,3
BST,reverse,10000,search,129.272,1
BST,reverse,10000,search,130.399,2
BST,reverse,10000,search,130.975,3
BTree,reverse,10000,insert,0.902383,1
BTree,reverse,10000,insert,0.984597,2
BTree,reverse,10000,insert,0.90735,3
BTree,reverse,10000,search,0.394725,1
BTree,reverse,10000,search,0.376508,2
BTree,reverse,10000,search,0.38165,3
vEB,reverse,10000,build,0.195649,1
vEB,reverse,10000,build,0.117953,2
vEB,reverse,10000,build,0.120304,3
vEB,reverse,10000,search,0.285366,1
vEB,reverse,10000,search,0.289296,2
vEB,reverse,10000,search,0.289329,3
BST,zipfian,10000,insert,5.24449,1
BST,zipfian,10000,insert,5.45288,2
BST,zipfian,10000,insert,5.33677,3
BST,zipfian,10000,search,0.267343,1
BST,zipfian,10000,search,0.261714,2
BST,zipfian,10000,search,0.256462,3
BTree,zipfian,10000,insert,1.21003,1
BTree,zipfian,10000,insert,1.21505,2
BTree,zipfian,10000,insert,1.62961,3
BTree,zipfian,10000,search,0.425449,1
BTree,zipfian,10000,search,0.418945,2
BTree,zipfian,10000,search,0.416236,3
vEB,zipfian,10000,build,0.429845,1
vEB,zipfian,10000,build,0.118599,2
vEB,zipfian,10000,build,0.13822,3
vEB,zipfian,10000,search,0.157448,1
vEB,zipfian,10000,search,0.160517,2
vEB,zipfian,10000,search,0.140432,3
BST,uniform,20000,insert,2.26483,1
BST,uniform,20000,insert,2.05528,2
BST,uniform,20000,insert,2.0844,3
BST,uniform,20000,search,1.07507,1
BST,uniform,20000,search,1.06256,2
BST,uniform,20000,search,1.06092,3
BTree,uniform,20000,insert,3.16482,1
BTree,uniform,20000,insert,3.59567,2
BTree,uniform,20000,insert,3.56047,3
BTree,uniform,20000,search,1.83531,1
BTree,uniform,20000,search,2.02383,2
BTree,uniform,20000,search,1.93591,3
vEB,uniform,20000,build,0.653125,1
vEB,uniform,20000,build,0.294883,2
vEB,uniform,20000,build,0.25706,3
vEB,uniform,20000,search,0.634829,1
vEB,uniform,20000,search,0.641406,2
